radius_km,cells,r,p
3,31,0.154,0.17939606755084053
5,84,0.19,0.09511481317484177
8,180,0.1,0.3843304052143613
10,251,0.092,0.4234594923109364
12,330,0.053,0.6426558303726869
15,448,-0.004,0.972427451808496
