buffer,resolution,realised_deg,signal,n_cells,freq,variant,period,lag,lag_kind,n,block,r,p_naive,n_eff_first,p_eff_first,n_eff_nw,p_eff_nw,boot_lo,boot_hi,p_perm,p_fdr,fdr_reject,verdict
0.1,0.25,0.2728,footprint,12,W,stl,52,0,lag0,377,7,0.0467,0.3654777376053532,320.1,0.4046064358480279,307.6,0.4139988374709375,-0.0485,0.1373,0.41631673665266944,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,W,stl,52,6,peak,371,7,0.074,0.1546939306867529,315.0,0.18998401039066276,302.7,0.1989311600778491,-0.0406,0.1759,0.1827634473105379,0.31647724509152225,False,ns
0.1,0.25,0.2728,footprint,12,ME,level,12,0,lag0,90,4,0.084,0.4314219001943729,66.6,0.5005570695686723,65.5,0.5043222047001568,-0.1538,0.2743,0.5560887822435513,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,ME,level,12,6,peak,84,4,0.2742,0.011614188296572398,63.5,0.029043430923004813,62.8,0.029949661439645194,-0.1399,0.548,0.03799240151969606,0.1959608078384323,False,fragile (naive-only)
0.1,0.25,0.2728,footprint,12,ME,intensity-model,12,0,lag0,90,4,0.0625,0.5582824700699377,66.7,0.6161075303362954,65.5,0.6193417947955264,-0.1783,0.2577,0.6680663867226555,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,ME,intensity-model,12,6,peak,84,4,0.2542,0.01963106388032286,63.6,0.04329292417909084,63.0,0.04442595916871181,-0.1647,0.5372,0.05638872225554889,0.1980235531841,False,fragile (naive-only)
0.1,0.25,0.2728,footprint,12,ME,yoy,12,0,lag0,78,4,-0.0454,0.6931580123776457,51.8,0.7497216388229055,52.7,0.7476113668299824,-0.4517,0.2751,0.7500499900019996,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,ME,yoy,12,6,peak,72,4,0.2564,0.029676681529478624,47.8,0.07901077754078305,48.5,0.0769620961000438,-0.2077,0.5216,0.1195760847830434,0.26564384092878396,False,fragile (naive-only)
0.1,0.25,0.2728,footprint,12,ME,stl,12,0,lag0,90,4,0.0518,0.6277205708000428,76.9,0.6548073638534873,74.3,0.660371239269249,-0.1666,0.2361,0.6962607478504299,0.9961690201642212,False,ns
0.1,0.25,0.2728,footprint,12,ME,stl,12,5,peak,85,4,0.2576,0.017316101221904714,72.7,0.02816767096282608,70.2,0.03104044602872514,-0.1651,0.4779,0.03279344131173765,0.1959608078384323,False,fragile (naive-only)
